operation,n,resource_complete_n,eligible_for_resource_boxplot,duration_ms_n,duration_ms_p50,duration_ms_p90,duration_ms_p99,duration_ms_mean,cpu_percent_mean_n,cpu_percent_mean_p50,cpu_percent_mean_p90,cpu_percent_mean_p99,cpu_percent_mean_mean,cpu_percent_delta_mean_n,cpu_percent_delta_mean_p50,cpu_percent_delta_mean_p90,cpu_percent_delta_mean_p99,cpu_percent_delta_mean_mean,ambient_memory_bytes_mean_n,ambient_memory_bytes_mean_p50,ambient_memory_bytes_mean_p90,ambient_memory_bytes_mean_p99,ambient_memory_bytes_mean_mean,ambient_memory_bytes_max_n,ambient_memory_bytes_max_p50,ambient_memory_bytes_max_p90,ambient_memory_bytes_max_p99,ambient_memory_bytes_max_mean,memory_bytes_delta_mean_n,memory_bytes_delta_mean_p50,memory_bytes_delta_mean_p90,memory_bytes_delta_mean_p99,memory_bytes_delta_mean_mean,memory_bytes_delta_max_n,memory_bytes_delta_max_p50,memory_bytes_delta_max_p90,memory_bytes_delta_max_p99,memory_bytes_delta_max_mean,network_io_bytes_n,network_io_bytes_p50,network_io_bytes_p90,network_io_bytes_p99,network_io_bytes_mean,disk_io_bytes_n,disk_io_bytes_p50,disk_io_bytes_p90,disk_io_bytes_p99,disk_io_bytes_mean,network_io_bytes_per_s_n,network_io_bytes_per_s_p50,network_io_bytes_per_s_p90,network_io_bytes_per_s_p99,network_io_bytes_per_s_mean,disk_io_bytes_per_s_n,disk_io_bytes_per_s_p50,disk_io_bytes_per_s_p90,disk_io_bytes_per_s_p99,disk_io_bytes_per_s_mean
data_script,2020,1174,True,2020,1696.35,14160.240000000005,79729.73599999929,7773.300742574257,1193,98.24,469.938,1695.1108,218.8436061774952,1193,97.76105263157895,469.90999999999997,1695.028,217.42400705968376,1193,255667732.48,1310801788.928,43566061584.384,1535821615.061936,1193,273290362.88,1448903442.432,43571803586.56,1647480905.473931,1193,57668684.06857133,178192908.28799987,1204822486.029783,93238670.73022352,1193,74039951.35999998,328143470.59199995,4246834721.5871964,204286415.29777032,1361,5545.236117839813,70471.7144165039,6689998.134957657,283602.86352344125,1359,10526.052163788117,1669094.6073024292,34617228.78764035,9021697.454117268,1346,1189.544629733912,76104.34640465898,1742997.53786855,61459.56345587115,1344,8177.691673014862,471217.17541330075,14046139.059789483,1325293.9991947203
directory_list,521,41,False,521,60.7,147.4,4651.5199999999195,232.45508637236085,50,33.595,89.33068,769.1678999999981,68.04388377777778,50,33.165,82.193,769.1580999999981,66.53188377777778,50,194033745.92,349158331.73333335,21044276599.19352,1045266238.3629652,50,194033745.92,349259694.08,21050899510.06712,1047081150.0544,50,3266314.2400000095,33604064.59733334,86990598.96319987,11629929.780565344,50,3266314.2400000095,46235910.14399998,101351371.57119992,13444841.472000008,315,240.04717922210693,5340.451743698121,569561.7857215884,27422.520559319997,308,977.3435704594012,37754.44477190684,1695029.3506127466,66318.3991113757,298,10032.461686567825,91425.66568370207,7057581.260343669,300631.65444993484,291,32759.495860592448,589639.3942347255,12921532.659883311,515188.5289188901
download,13,5,True,13,2152.0,121654.36,132169.236,35056.89230769231,5,74.4675,76.1315,76.7399,52.59538333333334,5,74.3375,76.07950000000001,76.7347,52.383383333333335,5,296175534.08000004,662200070.9632,872874634.11712,410568604.60373336,5,300721111.04,666207728.4352,873275399.8643199,419313378.9184,5,44842352.639999986,52384759.808000036,53789641.932800025,38717969.74933335,5,54588866.56000003,66272100.35200003,73168794.41920002,47462744.06400002,5,276682.8841199875,1622844.0435520173,2373549.7054669,647146.0598154664,5,277261.826394856,31666305.10447588,48807604.08243626,10854641.350115703,5,40905.452242587366,160501.5421797312,179660.39942437637,75985.11182532096,5,75020.13656645875,3085417.0042911377,4850158.056664616,1065831.8013582577
environment_manage,16,1,False,16,398.1,2219.1,235308.97499999992,17806.393750000003,3,27.98,82.54000000000002,94.816,48.303333333333335,3,27.84,82.49600000000001,94.7936,44.52333333333334,3,344457216.0,354649374.71999997,356942610.432,299312523.94666666,3,344457216.0,363667128.32,367989358.59199995,303069921.28,3,12614369.280000001,40900755.456,47265192.3456,22956823.893333327,3,12614369.280000001,49918509.056,58311940.5056,26714221.22666666,1,855.407154083252,855.407154083252,855.407154083252,855.407154083252,1,6909.929274995346,6909.929274995346,6909.929274995346,6909.929274995346,1,2027.9923046070458,2027.9923046070458,2027.9923046070458,2027.9923046070458,1,16382.003971065305,16382.003971065305,16382.003971065305,16382.003971065305
file_discovery,538,128,False,538,118.75,2813.000000000007,25245.928,1605.8732342007436,135,66.06,138.14152,503.42659830508325,82.43567964919671,135,62.234,137.65553846153847,503.34739830508323,79.61567118358825,135,225527726.08,440806969.9291429,42569721497.663704,2087875204.9314816,135,226733588.48,533016346.6240002,42570659292.77439,2107819901.5348148,135,18916311.04000002,137423344.20834464,154933330.92824614,31616407.97723107,135,19167969.28,264851423.23200017,298269540.35199994,50570567.98340737,356,981.5294117927551,72611.74951887131,1385524.3620037022,176890.86951487922,345,3184.4804824590683,503263.3786394476,73477349.13782808,4931257.173680543,290,7618.0154702996615,141210.20384331324,5087496.287197699,248483.4169398074,279,32749.054618179794,880157.8718030339,34110723.469009265,4048686.1634753817
file_edit,913,6,False,913,2.8,5.6,15.403999999999996,8.675355969331873,6,7.6899999999999995,51.510555555555555,85.08105555555557,20.453518518518518,6,7.63,51.29555555555555,84.78055555555555,20.228518518518516,6,200393359.36,970914267.1359999,1052238256.5376,453074310.48533326,6,200393359.36,970914267.1359999,1052238256.5376,453074310.48533326,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,515,23.827667236328125,258.1796718597413,9486.574865474739,412.4920344158862,515,205.82437640428543,1819.505284330808,9162.97678111155,1127.8860345802436,514,7519.140938917796,143483.77779813914,2629986.7265970223,150143.7775458222,514,64619.63472094132,370448.65602606395,6912379.178667217,340202.18858221354
file_read,5110,445,False,5110,3.4,82.31000000000003,31701.797999999893,1491.6528767123289,459,98.93796296296296,209.1979282051282,767.2197926701607,122.64600532667268,459,98.51,209.1979282051282,767.0689926701607,119.31312133974458,459,290193408.0,793588761.1508771,21124418948.301258,899824149.0071884,459,310693068.8,1928046051.328,21124418948.301258,1179113303.9122963,459,68384194.56,323035087.94026655,1087756852.4980578,152747312.62469894,459,96982794.24000001,1561449201.6639998,2769624550.6048064,431855454.4801743,3246,35.06567716598511,5915.78506565094,175387.31747003933,35751.47501759152,3241,163.1955603233073,7643.355773679912,7682763.821403845,375485.33409676264,3080,5033.060248087048,159785.2292742047,4243896.4525418375,196710.12951815754,3075,32923.75352009233,147415.7220272658,5136579.503059361,1272290.1831502225
file_write,299,1,False,299,1.5,5.9,10.315999999999987,2.0806020066889634,1,3.29,3.29,3.29,3.29,1,3.17,3.17,3.17,3.17,1,854704783.36,854704783.36,854704783.36,854704783.36,1,854704783.36,854704783.36,854704783.36,854704783.36,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,253,23.793487548828125,343.2607238769532,2179.005480346652,147.1124151170018,253,90.6281358897686,507.68350525926803,2295.810227966301,2695.1622763295836,250,19114.656448364258,484179.1444808718,1684322.9594290094,160106.8879619941,250,47981.44528134845,203069.02796426587,7055613.221645348,1922266.9426729474
memory_read,2158,61,False,2158,0.0,65.63,77.8,11.027340129749769,61,1026.0,1976.9,3343.42,1090.2180327868853,61,1016.8,1967.7,3336.08,1082.0770491803278,61,1151250464.768,1173979398.144,1188334193.8688,1141243147.6500986,61,1151250464.768,1173979398.144,1188334193.8688,1141243147.6500986,61,0.0,0.0,316250.5215999592,12961.086950818046,61,0.0,0.0,316250.5215999592,12961.086950818046,2158,8.561875343322754,7315.198284912105,209326.7628887928,14286.116755233637,2158,5.702307939529419,6005.66396409273,18325.936786264723,1511.9216311785415,830,78316.52459781335,2793292.138677705,6055606.049790524,962853.0232128293,830,93302.27877182717,264087.362362414,708427.0870692262,2469324.349844357
memory_write,1839,44,False,1839,0.0,50.86000000000004,233.1139999999995,15.308917890157694,44,1097.4,2393.1800000000003,6411.853000000001,1379.359090909091,44,1089.2,2384.5900000000006,6249.279,1364.9840909090908,44,1081405865.984,1143828643.84,1173842464.6041598,1081865023.1156363,44,1081405865.984,1143828643.84,1173842464.6041598,1081865023.1156363,44,0.0,5242880.0,17045326.39744006,1512928.3490909121,44,0.0,5242880.0,17045326.39744006,1512928.3490909121,1839,8.480175018310547,76069.79516296387,259639.3747969052,20459.366767680018,1839,10.933786153793335,14047.237998706105,50705.63688079643,19415.66810146594,612,661297.971132043,3109441.9243661314,4165054.1556988284,1293412.93203744,612,247533.76096718071,548885.5854376208,1112245.175769084,1681204.5769801936
